Timestamp,Original Question,Org Ids,Original Question,User ID,Project ID,Shard
2025-07-23 14:50:44,Draft a letter to Great Southern Life regarding their most recent fax. This letter should confirm in writing that the only charges related to injuries sustained in the motor vehicle accident are from the 01/20/2025 visit to Washington Regional Medical Center,7405,Draft a letter to Great Southern Life regarding their most recent fax. This letter should confirm in writing that the only charges related to injuries sustained in the motor vehicle accident are from the 01/20/2025 visit to Washington Regional Medical Center,92905,,fv-prod-us-shard-j-app
2025-07-23 14:50:32,Summarize into a paragraph to include in demand,282,Summarize into a paragraph to include in demand,8403,,fv-prod-us-shard-d-app
2025-07-23 14:49:15,Remove see details and factor in the psychological trauma experienced from lacerations,282,Remove see details and factor in the psychological trauma experienced from lacerations,8403,,fv-prod-us-shard-d-app
2025-07-23 14:48:40,summarize the difficulties on this case,354,summarize the difficulties on this case,14070,,fv-prod-us-shard-d-app
2025-07-23 14:48:19,Does this agreement include breach notification timelines?,299,Does this agreement include breach notification timelines?,11257,,fv-prod-us-shard-b-app
2025-07-23 14:48:11,when was the last audit,8921,when was the last audit,94847,,fv-prod-us-shard-j-app
2025-07-23 14:48:11,doctors from stamp medical,8741,doctors from stamp medical,92670,,fv-prod-us-shard-g-app
2025-07-23 14:48:03,"Look at Axels LW&T and Codicil: review and summarize his existing Will and Trust. bullet points are fine. Focus on the people named and how they fit in and their relationship to him, and how his assets will flow if he dies first and if he dies second.",8970,"Look at Axels LW&T and Codicil: review and summarize his existing Will and Trust. bullet points are fine. Focus on the people named and how they fit in and their relationship to him, and how his assets will flow if he dies first and if he dies second.",92231,,fv-prod-us-shard-g-app
2025-07-23 14:47:45,has there been an ortho appointment,8921,has there been an ortho appointment,94847,,fv-prod-us-shard-j-app
2025-07-23 14:47:39,Right shoulder replacement?,781,Right shoulder replacement?,39372,,fv-prod-us-shard-o-app
2025-07-23 14:47:14,Provide specific examples of pain and suffering to include in the demand,282,Provide specific examples of pain and suffering to include in the demand,8403,,fv-prod-us-shard-d-app
2025-07-23 14:46:30,any procedures?,781,any procedures?,39372,,fv-prod-us-shard-o-app
2025-07-23 14:45:43,"if the client asks for an update, what should I say?",990000222,"if the client asks for an update, what should I say?",990018188,,fv-prod-us-shard-c-app
2025-07-23 14:45:43,what are the injuries,781,what are the injuries,39372,,fv-prod-us-shard-o-app
2025-07-23 14:45:29,Can you summarize the wins on this case,354,Can you summarize the wins on this case,14070,,fv-prod-us-shard-d-app
2025-07-23 14:43:47,HEARTLAND SURGERY. FIND 17779.25 TOTAL. I DONT CARE ABOUT BALANCE AFTER INSURANCE PAYMENTS OR ANYTHING. JUST ADD UP CHARGES AND FIND THAT NUMBER. THE F.,8770,HEARTLAND SURGERY. FIND 17779.25 TOTAL. I DONT CARE ABOUT BALANCE AFTER INSURANCE PAYMENTS OR ANYTHING. JUST ADD UP CHARGES AND FIND THAT NUMBER. THE F.,80583,,fv-prod-us-shard-f-app
2025-07-23 14:42:51,is there any property damage photos or estimates,8921,is there any property damage photos or estimates,94847,,fv-prod-us-shard-j-app
2025-07-23 14:42:29,What are the last four digits of client's social security number?,8921,What are the last four digits of client's social security number?,90241,,fv-prod-us-shard-j-app
2025-07-23 14:41:53,What is this client's patient account number at the hospital?,8921,What is this client's patient account number at the hospital?,90241,,fv-prod-us-shard-j-app
2025-07-23 14:41:12,but that is in the bill for the 585 one. Is this a double up or does this happen every time the client goes to treatment,417,but that is in the bill for the 585 one. Is this a double up or does this happen every time the client goes to treatment,17554,,fv-prod-us-shard-d-app
2025-07-23 14:40:56,when is the last appt we have for core,7374,when is the last appt we have for core,80590,,fv-prod-us-shard-m-app
2025-07-23 14:40:48,has there been an MRI,8921,has there been an MRI,94847,,fv-prod-us-shard-j-app
2025-07-23 14:40:25,has there been a police report,8921,has there been a police report,94847,,fv-prod-us-shard-j-app
2025-07-23 14:40:04,whats up with the lien,8353,whats up with the lien,81450,,fv-prod-us-shard-h-app
2025-07-23 14:39:50,there is a university orthopedic care tab in the treatment section that says it is 145 dollars. What is that bill for and where is that bill. Or was this just a verbal bill,417,there is a university orthopedic care tab in the treatment section that says it is 145 dollars. What is that bill for and where is that bill. Or was this just a verbal bill,17554,,fv-prod-us-shard-d-app
2025-07-23 14:39:40,what are the Bi limits,8921,what are the Bi limits,94847,,fv-prod-us-shard-j-app
2025-07-23 14:38:52,summarize this contract,514,summarize this contract,37052,,fv-prod-us-shard-b-app
2025-07-23 14:38:36,is there plate# for client vehicle,354,is there plate# for client vehicle,19174,,fv-prod-us-shard-d-app
2025-07-23 14:38:10,give me the status on the lost wage form,990000222,give me the status on the lost wage form,990018188,,fv-prod-us-shard-c-app
2025-07-23 14:37:15,"the client emailed me ""i would like to move forward without the lost wage form"". how should i respond? should i tell him to just send it over",990000222,"the client emailed me ""i would like to move forward without the lost wage form"". how should i respond? should i tell him to just send it over",990018188,,fv-prod-us-shard-c-app
2025-07-23 14:36:59,when was the last audit,8921,when was the last audit,94847,,fv-prod-us-shard-j-app
2025-07-23 14:36:38,what is the insurance policy number,7526,what is the insurance policy number,80959,,fv-prod-us-shard-j-app
2025-07-23 14:35:48,Was ovarian cancer confirmed?,8353,Was ovarian cancer confirmed?,79868,,fv-prod-us-shard-h-app
2025-07-23 14:35:10,Was this client diagnosed with endometrial cancer?,8353,Was this client diagnosed with endometrial cancer?,79868,,fv-prod-us-shard-h-app
